17;85
80;43
63;48
23;33
61;84
60;88
67;3
45;48
57;92
18;70
91;67
67;68
26;25
1;76
88;44
80;57
29;61
0;92
61;76
77;22
60;37
10;79
92;7
79;1
52;97
23;43
64;42
11;43
68;12
19;56
56;52
65;86
13;17
30;26
93;8
48;5
97;10
85;42
70;64
43;22
14;67
65;30
9;28
73;29
92;45
85;48
97;2
86;62
20;69
88;13
29;88
19;26
50;56
68;20
72;64
94;86
83;11
17;44
91;90
74;83
87;11
32;84
14;70
98;34
39;86
99;68
26;70
47;77
26;67
49;99
83;96
37;66
7;54
11;51
97;37
34;84
48;66
21;62
89;71
48;80
58;48
49;36
18;48
65;97
15;15
96;99
63;85
17;22
40;80
73;89
17;8
73;66
26;46
80;15
18;81
96;28
29;97
16;99
45;82
96;12
49;44
11;12
30;29
86;70
9;60
11;79
68;84
97;46
83;77
62;53
10;10
33;39
7;49
39;4
83;35
16;32
32;80
96;62
61;83
84;22
95;95
1;63
31;98
61;14
28;23
19;38
85;52
30;44
54;69
48;37
56;17
22;88
97;70
50;58
53;86
80;0
81;82
63;13
32;77
79;60
0;99
51;38
3;81
82;9
2;31
99;10
48;21
51;45
43;1
55;49
40;35
49;21
69;65
34;2
42;14
14;94
65;17
32;20
98;15
30;52
98;29
63;98
2;14
95;97
67;50
46;7
85;96
81;7
13;15
9;55
81;75
49;46
93;82
19;43
49;49
96;47
30;11
45;84
77;40
81;96
90;28
56;27
76;37
34;89
52;95
44;86
71;93
84;16
27;3
59;76
52;7
75;82
18;72
18;47
12;0
44;54
28;52
34;4
89;20
45;93
16;89
79;39
34;64
55;14
19;14
42;72
74;18
6;92
90;25
92;55
77;88
61;5
40;95
61;81
16;6
74;84
47;6
23;81
22;78
47;41
44;90
65;18
60;24
63;50
1;7
57;78
95;19
35;87
66;48
68;82
54;94
66;53
0;41
34;74
71;34
68;68
24;33
86;84
9;1
86;10
8;44
40;55
15;75
42;81
23;62
16;29
9;82
82;61
76;69
36;47
3;4
15;79
89;54
63;51
55;1
13;16
97;54
23;12
81;18
46;5
32;62
86;41
96;21
3;72
42;39
72;45
95;87
76;36
41;91
87;49
92;1
17;42
55;92
6;36
10;52
93;43
66;32
84;63
53;87
87;95
78;59
92;25
99;20
62;92
11;1
93;55
2;10
97;9
55;4
98;65
56;43
60;75
75;45
90;80
84;29
75;15
89;19
40;40
39;2
32;50
